% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
99,0.44999999999999996,10,0.05,0.05,179
98,0.9500000000000003,20,0.05,0.05,379
97,1.4500000000000006,30,0.05,0.05,579
96,1.950000000000001,40,0.05,0.05,779
95,2.4499999999999993,50,0.05,0.05,979
94,2.9499999999999975,60,0.05,0.05,1179
93,3.4499999999999957,70,0.05,0.05,1379
92,3.949999999999994,80,0.05,0.05,1579
91,4.449999999999992,90,0.05,0.05,1779
90,4.94999999999999,100,0.05,0.05,1979
89,5.449999999999989,110,0.05,0.05,2179
88,5.949999999999987,120,0.05,0.05,2379
87,6.449999999999985,130,0.05,0.05,2579
86,6.949999999999983,140,0.05,0.05,2779
85,7.4499999999999815,150,0.05,0.05,2979
84,7.94999999999998,160,0.05,0.05,3179
83,8.449999999999985,170,0.05,0.05,3379
82,8.949999999999992,180,0.05,0.05,3579
81,9.45,190,0.05,0.05,3779
80,9.950000000000006,200,0.05,0.05,3979
79,10.450000000000014,210,0.05,0.05,4179
78,10.95000000000002,220,0.05,0.05,4379
77,11.450000000000028,230,0.05,0.05,4579
76,11.950000000000035,240,0.05,0.05,4779
75,12.450000000000042,250,0.05,0.05,4979
74,12.950000000000049,260,0.05,0.05,5179
73,13.450000000000056,270,0.05,0.05,5379
72,13.950000000000063,280,0.05,0.05,5579
71,14.45000000000007,290,0.05,0.05,5779
70,14.950000000000077,300,0.05,0.05,5979
69,15.450000000000085,310,0.05,0.05,6179
68,15.950000000000092,320,0.05,0.05,6379
67,16.4500000000001,330,0.05,0.05,6579
66,16.950000000000106,340,0.05,0.05,6779
65,17.450000000000113,350,0.05,0.05,6979
64,17.95000000000012,360,0.05,0.05,7179
63,18.450000000000127,370,0.05,0.05,7379
62,18.950000000000134,380,0.05,0.05,7579
61,19.45000000000014,390,0.05,0.05,7779
60,19.95000000000015,400,0.05,0.05,7979
59,20.450000000000156,410,0.05,0.05,8179
58,20.950000000000163,420,0.05,0.05,8379
57,21.45000000000017,430,0.05,0.05,8579
56,21.950000000000177,440,0.05,0.05,8779
56,22.450000000000184,450,0.05,0.05,8979
