# {"env_id": "Acrobot-v1", "t_start": 1572046359.397239} 
r,l,t
-200.0,200,1.389148
-200.0,200,1.545538
-200.0,200,1.701561
-200.0,200,1.857201
-200.0,200,2.009493
-200.0,200,2.836675
-200.0,200,3.590296
-200.0,200,4.333548
-200.0,200,5.083466
-200.0,200,5.82873
-200.0,200,6.576519
-200.0,200,7.329773
-200.0,200,8.084004
-200.0,200,8.829005
-200.0,200,9.596269
-200.0,200,10.353941
-200.0,200,11.11189
-200.0,200,11.86408
-200.0,200,12.626431
-200.0,200,13.390696
-200.0,200,14.144984
-200.0,200,14.902486
-200.0,200,15.661507
-200.0,200,16.420847
-200.0,200,17.17887
-200.0,200,17.93803
-200.0,200,18.69707
-200.0,200,19.451886
-200.0,200,20.216962
-200.0,200,20.976582
-200.0,200,21.744963
-200.0,200,22.505571
-200.0,200,23.270483
-200.0,200,24.035526
-200.0,200,24.7992
-200.0,200,25.570615
-200.0,200,26.338012
-200.0,200,27.107284
-200.0,200,27.880501
-200.0,200,28.645182
-200.0,200,29.407548
-200.0,200,30.180501
-200.0,200,30.95132
-200.0,200,31.727226
-200.0,200,32.500657
-200.0,200,33.269447
-200.0,200,34.026929
-200.0,200,34.790285
-200.0,200,35.564451
-200.0,200,36.355854
-200.0,200,37.130131
-200.0,200,37.905692
-200.0,200,38.672861
-200.0,200,39.456612
-200.0,200,40.228141
-200.0,200,40.998762
-200.0,200,41.76416
-200.0,200,42.543375
-200.0,200,43.325458
-200.0,200,44.09741
-200.0,200,44.874371
-200.0,200,45.644609
-200.0,200,46.407179
-200.0,200,47.186626
-200.0,200,47.963825
-200.0,200,48.736498
-200.0,200,49.503294
-200.0,200,50.270896
-200.0,200,51.048819
-200.0,200,51.816764
-200.0,200,52.587591
-200.0,200,53.359871
-200.0,200,54.130162
-200.0,200,54.897288
-200.0,200,55.670304
-200.0,200,56.44769
-200.0,200,57.223343
-200.0,200,57.997706
-200.0,200,58.775916
-200.0,200,59.552358
-200.0,200,60.323645
-200.0,200,61.108933
-200.0,200,61.880748
-200.0,200,62.648434
-200.0,200,63.418094
-200.0,200,64.199456
-200.0,200,64.963287
-200.0,200,65.736192
-200.0,200,66.510355
-200.0,200,67.290311
-200.0,200,68.065323
