% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
98,[-1800.],10,-200.0,-200.0,1799
96,[-3800.],20,-200.0,-200.0,3799
94,[-5800.],30,-200.0,-200.0,5799
92,[-7800.],40,-200.0,-200.0,7799
90,[-9800.],50,-200.0,-200.0,9799
88,[-11800.],60,-200.0,-200.0,11799
86,[-13800.],70,-200.0,-200.0,13799
84,[-15800.],80,-200.0,-200.0,15799
82,[-17800.],90,-200.0,-200.0,17799
80,[-19800.],100,-200.0,-200.0,19799
78,[-21800.],110,-200.0,-200.0,21799
76,[-23800.],120,-200.0,-200.0,23799
74,[-25800.],130,-200.0,-200.0,25799
72,[-27774.],140,-197.4,-199.74,27774
70,[-29774.],150,-200.0,-199.74,29774
68,[-31762.],160,-198.8,-199.62,31763
66,[-33682.],170,-192.0,-198.82,33684
65,[-35682.],180,-200.0,-198.82,35684
63,[-37682.],190,-200.0,-198.82,37684
61,[-39682.],200,-200.0,-198.82,39684
59,[-41682.],210,-200.0,-198.82,41684
57,[-43682.],220,-200.0,-198.82,43684
55,[-45682.],230,-200.0,-198.82,45684
53,[-47682.],240,-200.0,-199.08,47684
51,[-49682.],250,-200.0,-199.08,49684
49,[-51682.],260,-200.0,-199.2,51684
47,[-53682.],270,-200.0,-200.0,53684
45,[-55682.],280,-200.0,-200.0,55684
43,[-57682.],290,-200.0,-200.0,57684
41,[-59664.],300,-198.2,-199.82,59667
39,[-61630.],310,-196.6,-199.48,61634
37,[-63288.],320,-165.8,-196.06,63298
36,[-65057.],330,-176.9,-193.75,65072
34,[-66899.],340,-184.2,-192.17,66918
32,[-68628.],350,-172.9,-189.46,68653
31,[-70139.],360,-151.1,-184.57,70174
29,[-71639.],370,-150.0,-179.57,71682
28,[-72924.],380,-128.5,-172.42,72977
27,[-74109.],390,-118.5,-164.27,74172
26,[-75363.],400,-125.4,-156.99,75436
24,[-76654.],410,-129.1,-150.24,76736
23,[-77907.],420,-125.3,-146.19,77998
22,[-79159.],430,-125.2,-141.02,79260
21,[-80282.],440,-112.3,-133.83,80393
19,[-81534.],450,-125.2,-129.06,81655
18,[-82696.],460,-116.2,-125.57,82827
17,[-83681.],470,-98.5,-120.42,83822
16,[-84832.],480,-115.1,-119.08,84982
15,[-86003.],490,-117.1,-118.94,86163
14,[-87080.],500,-107.7,-117.17,87250
13,[-88222.],510,-114.2,-115.68,88402
12,[-89236.],520,-101.4,-113.29,89426
